Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
AngusB102,2022-03-17 19:30:00,2022-03-17 19:45:00,79,323,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 19:45:00,2022-03-17 20:00:00,34,133,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 20:00:00,2022-03-17 20:15:00,33,147,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 20:15:00,2022-03-17 20:30:00,41,150,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 20:30:00,2022-03-17 20:45:00,64,287,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 20:45:00,2022-03-17 21:00:00,7,31,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 21:00:00,2022-03-17 21:15:00,5,18,0:02:40,0:12:20,1,0,1
AngusB102,2022-03-17 21:15:00,2022-03-17 21:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 21:30:00,2022-03-17 21:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 21:45:00,2022-03-17 22:00:00,0,3,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 22:00:00,2022-03-17 22:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 22:15:00,2022-03-17 22:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 22:30:00,2022-03-17 22:45:00,74,303,0:05:22,0:09:38,1,1,0
AngusB102,2022-03-17 22:45:00,2022-03-17 23:00:00,82,358,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 23:00:00,2022-03-17 23:15:00,85,328,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 23:15:00,2022-03-17 23:30:00,67,244,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 23:30:00,2022-03-17 23:45:00,117,426,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 23:45:00,2022-03-18 00:00:00,203,1169,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 00:00:00,2022-03-18 00:15:00,20,94,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 00:15:00,2022-03-18 00:30:00,147,640,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 00:30:00,2022-03-18 00:45:00,66,244,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 00:45:00,2022-03-18 01:00:00,86,402,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 01:00:00,2022-03-18 01:15:00,42,183,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 01:15:00,2022-03-18 01:30:00,50,248,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-18 01:30:00,2022-03-18 01:45:00,233,1108,0:00:00,0:15:00,0,0,0
